Commit hash,Changed targets
6d374c3ee4c9c2651ffb44048924e127fd2bf37c,com.google.javascript.jscomp.AbstractCompilerRunner; com.google.javascript.jscomp.AmbiguateProperties; com.google.javascript.jscomp.CoalesceVariableNames; com.google.javascript.jscomp.ConcreteType; com.google.javascript.jscomp.NameAnalyzer; com.google.javascript.jscomp.ReplaceCssNames; com.google.javascript.jscomp.TypedScopeCreator; com.google.javascript.rhino.jstype.FunctionPrototypeType; com.google.javascript.rhino.jstype.InstanceObjectType; com.google.javascript.rhino.jstype.ObjectType; com.google.javascript.rhino.jstype.ProxyObjectType
a3ed6caf81e25d0cff2f84ba7f7dd80dab9e8086,com.google.javascript.jscomp.ProcessClosurePrimitives
bca9abb0e3062d373fe52c0e8340337588c05708,com.google.javascript.jscomp.AbstractCompilerRunner; com.google.javascript.jscomp.InlineFunctions; com.google.javascript.jscomp.InlineVariables; com.google.javascript.jscomp.ReferenceCollectingCallback; com.google.javascript.rhino.jstype.AllType; com.google.javascript.rhino.jstype.ArrowType; com.google.javascript.rhino.jstype.EnumElementType; com.google.javascript.rhino.jstype.EnumType; com.google.javascript.rhino.jstype.FunctionPrototypeType; com.google.javascript.rhino.jstype.FunctionType; com.google.javascript.rhino.jstype.InstanceObjectType; com.google.javascript.rhino.jstype.JSType; com.google.javascript.rhino.jstype.NamedType; com.google.javascript.rhino.jstype.NoObjectType; com.google.javascript.rhino.jstype.PrototypeObjectType; com.google.javascript.rhino.jstype.ProxyObjectType; com.google.javascript.rhino.jstype.RecordType; com.google.javascript.rhino.jstype.RecordTypeBuilder; com.google.javascript.rhino.jstype.UnionType; com.google.javascript.rhino.jstype.UnknownType; com.google.javascript.rhino.jstype.ValueType
52ecbc65e981b9f169466f8898155bc5f8bfad7a,com.google.javascript.jscomp.ComposeWarningsGuard; com.google.javascript.jscomp.TypeInference; com.google.javascript.jscomp.parsing.JsDocInfoParser; com.google.javascript.rhino.JSDocInfo; com.google.javascript.rhino.JSDocInfoBuilder
83e4a9768aadbdfb0481a0aa44157b4dc80189d2,com.google.javascript.jscomp.NodeTypeNormalizer; com.google.javascript.jscomp.TypedCodeGenerator; com.google.javascript.jscomp.TypedScopeCreator
5592f80e96e7fe3b7751c441efdd8eba6ccfc4ba,com.google.javascript.jscomp.AbstractCompilerRunner
37bc6d41f17d17a822bbcd9aed9f17649a3384fd,com.google.javascript.jscomp.TypeInference
d1f25380b5d74c5303533491e36ae4b33a50e2da,com.google.javascript.jscomp.DevirtualizePrototypeMethods; com.google.javascript.jscomp.DisambiguateProperties; com.google.javascript.jscomp.TypeInference; com.google.javascript.rhino.jstype.FunctionType; com.google.javascript.rhino.jstype.ObjectType
45f2bdf91ad3c2f2ac901c72efe9e26148b08d2b,com.google.javascript.jscomp.AbstractCompiler; com.google.javascript.jscomp.ChainCalls; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.FoldConstants; com.google.javascript.jscomp.InlineGetters; com.google.javascript.jscomp.NameAnalyzer; com.google.javascript.jscomp.ProcessClosurePrimitives; com.google.javascript.rhino.Node
c0face2a48665e46f4829f54ee24cfa4cf8d4589,com.google.javascript.jscomp.AbstractCompilerRunner; com.google.javascript.jscomp.PassConfig; com.google.javascript.jscomp.TypeInference; com.google.javascript.jscomp.TypeInferencePass; com.google.javascript.jscomp.graph.LinkedDirectedGraph
113a08f59e8116fb11a7d4ceb11d5bb09b74ac3c,com.google.javascript.jscomp.FoldConstants
b8c52bf5e76948ee8d561fa55a36cc6c9f5d0c68,com.google.javascript.jscomp.AbstractCompiler; com.google.javascript.jscomp.AliasExternals; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.GenerateExports; com.google.javascript.jscomp.JsAst; com.google.javascript.jscomp.LightweightMessageFormatter; com.google.javascript.jscomp.LocaleUtil; com.google.javascript.jscomp.SanityCheck; com.google.javascript.jscomp.Strings; com.google.javascript.jscomp.TypedCodeGenerator; com.google.javascript.jscomp.VerboseMessageFormatter; com.google.javascript.jscomp.parsing.Config; com.google.javascript.jscomp.parsing.ParserRunner; com.google.javascript.rhino.jstype.FunctionType
c306f810ac0d653caadb7bf0b7cf7c12d6c06a20,com.google.javascript.jscomp.AbstractCompilerRunner; com.google.javascript.jscomp.GenerateExports; com.google.javascript.jscomp.RemoveUnusedVars
086aeab1deabfa192544f14670d7d2fd2b12cffe,com.google.javascript.jscomp.Tracer
1be1c2636ef14071afa7da5cb8988972bd90149f,com.google.javascript.rhino.jstype.JSType; com.google.javascript.rhino.jstype.UnionType
67289ae4cbaba3ae70cd2e8fb92f3f2898039dfb,com.google.javascript.rhino.jstype.UnionType
2f5cb1622371de540fe20dcbe0411651ec89f952,com.google.javascript.jscomp.ControlFlowAnalysis; com.google.javascript.jscomp.DisambiguateProperties
4922461babcc37fb037d2a6db3fcb33fe4127a60,com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.ExpressionDecomposer
d48c365ba8251057a71a2e2b7aabff640209e31b,com.google.javascript.jscomp.Normalize; com.google.javascript.jscomp.SyntacticScopeCreator
ddb4d1112eaf5e16c7ac36a820faa0dcd53d89b8,com.google.javascript.jscomp.DisambiguateProperties
e5d3e5e012871b87d2f2a59985bc6522bb571ee2,com.google.javascript.jscomp.AbstractCommandLineRunner; com.google.javascript.jscomp.CommandLineRunner
2131059de15ba858adf7646bfba5cbd04b661336,com.google.javascript.jscomp.DefaultPassConfig
938f48a60c544f6b7bdb5d49006f654a51ca9a22,com.google.javascript.jscomp.MakeDeclaredNamesUnique; com.google.javascript.jscomp.MethodCompilerPass; com.google.javascript.jscomp.RenameVars
da30f170f29e983f014fb029fe5779bfd5d3b04f,com.google.javascript.jscomp.MakeDeclaredNamesUnique; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.Normalize
1f5edbcd2b5b09ec59151137e643d9ce75ef1055,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter; com.google.javascript.jscomp.ClosureReverseAbstractInterpreter; com.google.javascript.jscomp.TypeInference
6f2539acd3c37bd7f0d031b43364f75a5cd6d5f7,com.google.javascript.jscomp.AbstractCommandLineRunner; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.CompilerOptions
b347ce3a71e23a4ab92dc0a6c07d43e2f497c953,com.google.javascript.jscomp.AbstractCommandLineRunner; com.google.javascript.jscomp.AbstractCompiler; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.DiagnosticGroups; com.google.javascript.jscomp.Normalize
a70a7c599e53a7752cf4b9e6e82b4408c3c4c04b,com.google.javascript.jscomp.AbstractCommandLineRunner; com.google.javascript.jscomp.Compiler
369282db85567f1bf2c9635d0c0043d47f114814,com.google.javascript.jscomp.CodingConvention; com.google.javascript.jscomp.CommandLineRunner
3ce4716848eb71b6e78a4545a2cc0c27e74a29b3,com.google.javascript.jscomp.FunctionInformationMap; com.google.javascript.jscomp.Instrumentation; com.google.javascript.jscomp.ExpressionDecomposer; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.PureFunctionIdentifier; com.google.javascript.rhino.Node
be7c3f2f02e3eb2ad0153ebdff8b8d4fbafa8567,com.google.javascript.jscomp.CheckPathsBetweenNodes
fbf47bd6fe52121c22d9c1fa6764e6686221df99,com.google.javascript.jscomp.GatherRawExports; com.google.javascript.jscomp.RemoveUnusedVars; com.google.javascript.jscomp.StrictModeCheck; com.google.javascript.jscomp.VarCheck
a2f9d4f043be0fac4d868061fbc5d088ed31823b,com.google.javascript.jscomp.ExportTestFunctions; com.google.javascript.jscomp.FindExportableNodes; com.google.javascript.jscomp.InlineFunctions; com.google.javascript.jscomp.NameReferenceGraphConstruction; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.RuntimeTypeCheck; com.google.javascript.rhino.Node; com.google.javascript.rhino.jstype.EnumElementType; com.google.javascript.rhino.jstype.InstanceObjectType; com.google.javascript.rhino.jstype.JSTypeRegistry; com.google.javascript.rhino.jstype.PrototypeObjectType; com.google.javascript.rhino.jstype.UnknownType
f01925cbf7a39a885e51865208368e861d25a0c1,com.google.javascript.jscomp.CodeGenerator; com.google.javascript.jscomp.ExpressionDecomposer; com.google.javascript.jscomp.FunctionToBlockMutator; com.google.javascript.jscomp.GatherRawExports; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.StrictModeCheck; com.google.javascript.jscomp.TypeCheck; com.google.javascript.jscomp.VarCheck; com.google.javascript.jscomp.parsing.IRFactory; com.google.javascript.rhino.Token
c25df7eca2462861bf42ad8b74215099c3f81ae6,com.google.javascript.jscomp.CoalesceVariableNames; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.CompilerInput; com.google.javascript.jscomp.JSModuleGraph; com.google.javascript.jscomp.LiveVariablesAnalysis; com.google.javascript.jscomp.parsing.JsDocInfoParser
45fd54a488cfbf27978fc4811a722f1fedb8ddaa,com.google.javascript.jscomp.SyntacticScopeCreator; com.google.javascript.rhino.Token
7eaa0d8eca2549742649af34671eaf3da83b5c08,com.google.javascript.jscomp.AbstractCommandLineRunner; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.RemoveConstantExpressions; com.google.javascript.rhino.jstype.UnionTypeBuilder
f8229e74701c28f001e5b4954c1f1f7a2b764c11,com.google.javascript.jscomp.CombinedCompilerPass; com.google.javascript.jscomp.DeadAssignmentsElimination; com.google.javascript.jscomp.FlowSensitiveInlineVariables; com.google.javascript.jscomp.OptimizeArgumentsArray; com.google.javascript.jscomp.ParallelCompilerPass; com.google.javascript.jscomp.TightenTypes
93b021578e479422012dd323b72110b19cbe41f8,com.google.javascript.jscomp.CommandLineRunner
74a817bbf5256d671036356c58096f612535e4a2,com.google.javascript.jscomp.AbstractCompiler; com.google.javascript.jscomp.CheckRegExp; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.DiagnosticGroups; com.google.javascript.jscomp.FlowSensitiveInlineVariables; com.google.javascript.jscomp.TypedCodeGenerator
