Target,Commit count
com.google.javascript.jscomp.Es6RewriteArrowFunction,11
com.google.javascript.jscomp.newtypes.RawNominalType,11
com.google.javascript.jscomp.parsing.parser.FeatureSet,11
com.google.javascript.jscomp.AbstractScope,11
com.google.javascript.jscomp.CompilationLevel,10
com.google.javascript.jscomp.JSModuleGraph,10
com.google.javascript.jscomp.InferJSDocInfo,10
com.google.javascript.rhino.jstype.NoObjectType,10
com.google.javascript.rhino.jstype.RecordType,10
com.google.javascript.jscomp.DevirtualizePrototypeMethods,10
com.google.javascript.jscomp.RuntimeTypeCheck,10
com.google.javascript.jscomp.FunctionToBlockMutator,10
com.google.javascript.jscomp.ReplaceMessages,10
com.google.javascript.jscomp.InlineObjectLiterals,10
com.google.javascript.jscomp.RescopeGlobalSymbols,10
com.google.javascript.jscomp.parsing.parser.trees.ParseTree,10
com.google.javascript.jscomp.ProcessEs6Modules,10
com.google.javascript.jscomp.newtypes.JSTypes,10
com.google.javascript.jscomp.lint.CheckJSDocStyle,10
com.google.javascript.jscomp.NTIScope,10
com.google.javascript.jscomp.LintPassConfig,10
com.google.javascript.jscomp.AbstractCompilerRunner,9
com.google.javascript.rhino.jstype.InstanceObjectType,9
com.google.javascript.jscomp.AliasExternals,9
com.google.javascript.jscomp.StrictModeCheck,9
com.google.javascript.jscomp.FindExportableNodes,9
com.google.javascript.jscomp.CrossModuleMethodMotion,9
com.google.javascript.jscomp.LinkedFlowScope,9
com.google.javascript.jscomp.SimpleDefinitionFinder,9
com.google.javascript.jscomp.newtypes.FunctionTypeBuilder,9
com.google.javascript.jscomp.Es6SyntacticScopeCreator,9
com.google.javascript.jscomp.TypedScope,9
com.google.javascript.jscomp.PolymerClassDefinition,9
com.google.javascript.jscomp.CheckMissingAndExtraRequires,9
com.google.javascript.jscomp.FoldConstants,8
com.google.javascript.rhino.JSTypeExpression,8
com.google.javascript.jscomp.PassConfig,8
com.google.javascript.jscomp.TightenTypes,8
com.google.javascript.jscomp.parsing.Config,8
com.google.javascript.jscomp.Tracer,8
com.google.javascript.jscomp.SyntacticScopeCreator,8
com.google.javascript.jscomp.LiveVariablesAnalysis,8
com.google.javascript.jscomp.MinimizeExitPoints,8
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations,8
com.google.javascript.jscomp.FunctionRewriter,8
com.google.javascript.jscomp.ReplaceStrings,8
com.google.javascript.jscomp.Denormalize,8
com.google.javascript.jscomp.RenameProperties,8
com.google.javascript.jscomp.ProcessDefines,8
com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,8
com.google.javascript.jscomp.InlineProperties,8
com.google.javascript.jscomp.MaybeReachingVariableUse,8
com.google.javascript.jscomp.type.SemanticReverseAbstractInterpreter,8
com.google.javascript.rhino.jstype.ModificationVisitor,8
com.google.javascript.jscomp.DeclaredGlobalExternsOnWindow,8
com.google.javascript.refactoring.ApplySuggestedFixes,8
com.google.javascript.refactoring.RefasterJsScanner,8
com.google.javascript.rhino.jstype.TemplatizedType,8
com.google.javascript.jscomp.DeadPropertyAssignmentElimination,8
com.google.javascript.jscomp.SanityCheck,7
com.google.javascript.jscomp.ComposeWarningsGuard,7
com.google.javascript.jscomp.LightweightMessageFormatter,7
com.google.javascript.jscomp.Instrumentation,7
com.google.javascript.jscomp.ExportTestFunctions,7
com.google.javascript.jscomp.CheckGlobalThis,7
com.google.javascript.jscomp.CheckMissingReturn,7
com.google.javascript.jscomp.CollapseVariableDeclarations,7
com.google.javascript.jscomp.CheckGlobalNames,7
com.google.debugging.sourcemap.SourceMapConsumerV3,7
com.google.javascript.jscomp.ExpandJqueryAliases,7
com.google.javascript.jscomp.RhinoErrorReporter,7
com.google.javascript.jscomp.InlineSimpleMethods,7
com.google.javascript.jscomp.ClosureRewriteClass,7
com.google.javascript.jscomp.newtypes.DeclaredFunctionType,7
com.google.javascript.jscomp.parsing.NewTypeSafeDispatcher,7
com.google.javascript.jscomp.parsing.parser.trees.ParseTreeType,7
com.google.javascript.jscomp.Es6ToEs3ClassSideInheritance,7
com.google.javascript.jscomp.parsing.TypeTransformationParser,7
com.google.javascript.jscomp.TypeTransformation,7
com.google.javascript.refactoring.RefactoringDriver,7
com.google.javascript.jscomp.InlineAliases,7
com.google.javascript.jscomp.J2clPropertyInlinerPass,7
com.google.javascript.jscomp.AbstractVar,7
com.google.javascript.jscomp.ModuleMetadata,7
com.google.javascript.jscomp.Es6ForOfConverter,7
com.google.javascript.jscomp.AstFactory,7
com.google.javascript.jscomp.AstAnalyzer,7
com.google.javascript.jscomp.InlineAndCollapseProperties,7
com.google.javascript.jscomp.DefaultCodingConvention,6
com.google.javascript.jscomp.GoogleCodingConvention,6
com.google.javascript.jscomp.JsAst,6
com.google.javascript.jscomp.GatherRawExports,6
com.google.javascript.rhino.jstype.AllType,6
