McLocalizer commit hash,Manual bug scope,McLocalizer bug scope,Bug scope precision,Bug scope recall
f0e3cbc250fd9536ff92119bdf5e1a62120a7fac,com.google.javascript.jscomp.CodeGenerator,com.google.javascript.jscomp.CodeGenerator,1.0,1.0
2a2e7a25c30bdbff7c47fce9c30bf68d748dffeb,com.google.javascript.jscomp.CheckAccessControls,com.google.javascript.jscomp.CheckAccessControls,1.0,1.0
b6587e0b5c0b9c69a8eeca8347229cd356643ab9,com.google.javascript.jscomp.serialization.TypedAstDeserializer; com.google.javascript.jscomp.serialization.TypedAstSerializer,com.google.javascript.jscomp.serialization.TypedAstDeserializer; com.google.javascript.jscomp.serialization.TypedAstSerializer,1.0,1.0
2d0aac92183a4b6bac01d67cfe0114ab96bd908c,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,1.0,1.0
7024b68120613b54bc78b18e7e3d90050f3c0e55,com.google.javascript.jscomp.ClosureRewriteModule,com.google.javascript.jscomp.ClosureRewriteModule,1.0,1.0
d34e8be041cb7fbdfa1f45f663de15396e3ce13a,com.google.javascript.jscomp.ant.CompileTask,com.google.javascript.jscomp.ant.CompileTask,1.0,1.0
572987703098023a5fc1a15f2a75b83c50e986db,com.google.javascript.jscomp.ConvertToDottedProperties,com.google.javascript.jscomp.ConvertToDottedProperties,1.0,1.0
09dd7e384177bf28c0d9faaff27836b3209efee9,com.google.javascript.jscomp.FindExportableNodes,com.google.javascript.jscomp.FindExportableNodes,1.0,1.0
e045f64a90ef082d1c6b74a417164334b1a94b10,com.google.javascript.jscomp.DiagnosticGroups,com.google.javascript.jscomp.DiagnosticGroups,1.0,1.0
536898016d1c3ea1fc13e6ddc44b9aac01c98650,com.google.javascript.jscomp.GlobalTypeInfo; com.google.javascript.jscomp.newtypes.Property; com.google.javascript.jscomp.newtypes.RawNominalType,com.google.javascript.jscomp.GlobalTypeInfo; com.google.javascript.jscomp.newtypes.Property; com.google.javascript.jscomp.newtypes.RawNominalType,1.0,1.0
58e612c4cd6a7d39ce5c3b1dd54d72af361e4943,com.google.javascript.jscomp.DefaultPassConfig,com.google.javascript.jscomp.DefaultPassConfig,1.0,1.0
8c3268cd71afe9a222ab6b3ee4dda6ca9e70e1bb,com.google.javascript.jscomp.TypeCheck,com.google.javascript.jscomp.TypeCheck,1.0,1.0
39093ab5c9f88dc17a52b57a2d05f4ee60ad7580,com.google.javascript.jscomp.FunctionTypeBuilder; com.google.javascript.rhino.jstype.JSTypeRegistry,com.google.javascript.jscomp.FunctionTypeBuilder; com.google.javascript.rhino.jstype.JSTypeRegistry,1.0,1.0
6a402120a11829b98fc1c5039be0dcb0bcf7a6a7,com.google.javascript.jscomp.Es6RewriteDestructuring; com.google.javascript.jscomp.Es6RewriteGenerators; com.google.javascript.jscomp.Es6ToEs3Converter,com.google.javascript.jscomp.Es6RewriteDestructuring; com.google.javascript.jscomp.Es6RewriteGenerators; com.google.javascript.jscomp.Es6ToEs3Converter,1.0,1.0
d8b611311358d431affd8a3ef03650bb3ebfaf57,com.google.javascript.jscomp.CheckClosureImports; com.google.javascript.jscomp.RewriteClosureImports,com.google.javascript.jscomp.CheckClosureImports; com.google.javascript.jscomp.RewriteClosureImports,1.0,1.0
227625182a4754c01565b4a6ca469f9c9daec42a,com.google.javascript.jscomp.Compiler,com.google.javascript.jscomp.Compiler,1.0,1.0
d8cfecf696919c717bff63b65a8758957c4868b0,com.google.javascript.jscomp.GlobalTypeInfo; com.google.javascript.jscomp.NewTypeInference; com.google.javascript.jscomp.newtypes.JSType; com.google.javascript.jscomp.newtypes.JSTypeCreatorFromJSDoc,com.google.javascript.jscomp.GlobalTypeInfo; com.google.javascript.jscomp.NewTypeInference; com.google.javascript.jscomp.newtypes.JSType; com.google.javascript.jscomp.newtypes.JSTypeCreatorFromJSDoc,1.0,1.0
7f6700e2b54af3af409f3e8851a0d98a72beef4b,com.google.javascript.rhino.TokenStream,com.google.javascript.rhino.TokenStream,1.0,1.0
514ebffc40b0f66528199112457e2aa22f8c46db,com.google.javascript.jscomp.CodeGenerator,com.google.javascript.jscomp.CodeGenerator,1.0,1.0
8a1cb362aa9c37b014754d118ebc385e2eb1359e,com.google.javascript.jscomp.parsing.parser.Parser,com.google.javascript.jscomp.parsing.parser.Parser,1.0,1.0
df0eed65546f07b1c2913dbab3e48873e93631a6,com.google.javascript.jscomp.InferJSDocInfo,com.google.javascript.jscomp.InferJSDocInfo,1.0,1.0
